IP:139910193928671		 Register Value: 1634342566
IP:139910193928676		 Register Value: -1714920368
IP:139910193928732		 Register Value: -1714920368
IP:139910193928732		 Register Value: 1
IP:139910193986825		 Register Value: 1636474880
IP:139910193986652		 Register Value: 1636471144
IP:139910193986771		 Register Value: 1636471144
IP:139910193986778		 Register Value: 1636472569
IP:139910193928772		 Register Value: 1636471144
IP:139910193928772		 Register Value: 1636471144
IP:139910193928780		 Register Value: 1636471144
IP:139910193928780		 Register Value: 1636472536
IP:139910193928791		 Register Value: 1636471144
IP:139910193928791		 Register Value: 1636472544
IP:139910194003297		 Register Value: 1636472568
IP:139910193928804		 Register Value: 1636472536
IP:139910193928804		 Register Value: 1636472568
IP:139910193928855		 Register Value: 1636471144
IP:139910193928855		 Register Value: 1636472568
IP:139910193928859		 Register Value: 1636471144
IP:139910193928875		 Register Value: 1636471144
IP:139910193928875		 Register Value: 0
IP:139910193928882		 Register Value: 1636471144
IP:139910193928882		 Register Value: 0
IP:139910193928912		 Register Value: 1636472280
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472296
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472312
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472328
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472344
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472360
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472376
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472392
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472408
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472424
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472440
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472456
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472472
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472488
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472504
IP:139910193928912		 Register Value: 1636471144
IP:139910193928912		 Register Value: 1636472520
IP:139910193928912		 Register Value: 1636471144
IP:139910193928949		 Register Value: 1636471144
IP:139910193928949		 Register Value: 1636472000
IP:139910193929060		 Register Value: 1636471144
IP:139910193929060		 Register Value: 0
IP:139910193929060		 Register Value: 1636471840
IP:139910193929070		 Register Value: 1636471144
IP:139910193929070		 Register Value: 1636471840
IP:139910193929080		 Register Value: -1714920368
IP:139910193888807		 Register Value: 1636471144
IP:139910193888807		 Register Value: 4194368
IP:139910193888826		 Register Value: 1636471144
IP:139910193888839		 Register Value: 1636471144
IP:139910193888839		 Register Value: 4195520
IP:139910193928632		 Register Value: 1636466752
IP:139910193928632		 Register Value: 1636471144
IP:139910193928602		 Register Value: 1636471144
IP:139910193928602		 Register Value: 0
IP:139910193928616		 Register Value: 1
IP:139910193891231		 Register Value: 1636471144
IP:139910193891231		 Register Value: 0
IP:139910193891422		 Register Value: 1636470816
IP:139910193891439		 Register Value: 4194872
IP:139910193891337		 Register Value: 1636471144
IP:139910193891337		 Register Value: 4194304
IP:139910193891360		 Register Value: 1636471144
IP:139910193891360		 Register Value: 4196428
IP:139910193891390		 Register Value: 1636471144
IP:139910193891390		 Register Value: 4196428
IP:139910193891360		 Register Value: 1636471144
IP:139910193891360		 Register Value: 6295632
IP:139910193891535		 Register Value: 1636471144
IP:139910193891535		 Register Value: 6295080
IP:139910193891187		 Register Value: 1636471144
IP:139910193891187		 Register Value: 6295056
IP:139910193891198		 Register Value: 1636471144
IP:139910193891198		 Register Value: 496
IP:139910193889292		 Register Value: 1634215852
IP:139910193889322		 Register Value: 1636470816
IP:139910193889322		 Register Value: 1636470736
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 1
IP:139910193889437		 Register Value: 6295080
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 12
IP:139910193889437		 Register Value: 6295096
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 13
IP:139910193889437		 Register Value: 6295112
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 25
IP:139910193889437		 Register Value: 6295128
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 27
IP:139910193889437		 Register Value: 6295144
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 26
IP:139910193889437		 Register Value: 6295160
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 28
IP:139910193889437		 Register Value: 6295176
IP:139910193891703		 Register Value: -511010304
IP:139910193891703		 Register Value: 2147482112
IP:139910193891703		 Register Value: 6295192
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 5
IP:139910193889437		 Register Value: 6295208
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 6
IP:139910193889437		 Register Value: 6295224
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 10
IP:139910193889437		 Register Value: 6295240
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 11
IP:139910193889437		 Register Value: 6295256
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 21
IP:139910193889437		 Register Value: 6295272
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 3
IP:139910193889437		 Register Value: 6295288
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 2
IP:139910193889437		 Register Value: 6295304
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 20
IP:139910193889437		 Register Value: 6295320
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 23
IP:139910193889437		 Register Value: 6295336
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 7
IP:139910193889437		 Register Value: 6295352
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 8
IP:139910193889437		 Register Value: 6295368
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 9
IP:139910193889437		 Register Value: 6295384
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 35
IP:139910193889437		 Register Value: 6295400
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 34
IP:139910193889437		 Register Value: 6295416
IP:139910193889437		 Register Value: 1636471208
IP:139910193889437		 Register Value: 49
IP:139910193889437		 Register Value: 6295432
IP:139910193928338		 Register Value: 1636471144
IP:139910193928359		 Register Value: 1636471144
IP:139910193928382		 Register Value: 1636471144
IP:139910193928382		 Register Value: 4194984
IP:139910193928389		 Register Value: 1636471144
IP:139910193928389		 Register Value: 4194992
IP:139910193928400		 Register Value: 1636471144
IP:139910193928406		 Register Value: 1636471144
IP:139910193928406		 Register Value: 4194992
IP:139910193928660		 Register Value: -1714920368
IP:139910193928660		 Register Value: 1634342566
IP:139910193928667		 Register Value: -1714920368
IP:139910193928671		 Register Value: -1714920368
IP:139910193928671		 Register Value: 1634342566
IP:139910193928676		 Register Value: -1714920368
IP:139910193928732		 Register Value: -1714920368
IP:139910193928732		 Register Value: 1
IP:139910193986652		 Register Value: 1636472576
IP:139910193986771		 Register Value: 1636472576
IP:139910193986778		 Register Value: 1636473745
IP:139910193928772		 Register Value: 1636472576
IP:139910193928772		 Register Value: 1636472576
IP:139910193928780		 Register Value: 1636472576
IP:139910193928780		 Register Value: 1636473712
IP:139910193928791		 Register Value: 1636472576
IP:139910193928791		 Register Value: 1636473720
IP:139910194003297		 Register Value: 1636473744
IP:139910193928804		 Register Value: 1636473712
IP:139910193928804		 Register Value: 1636473744
IP:139910193928855		 Register Value: 1636472576
IP:139910193928855		 Register Value: 1636473744
IP:139910193928859		 Register Value: 1636472576
IP:139910193928875		 Register Value: 1636472576
IP:139910193928875		 Register Value: 0
IP:139910193928882		 Register Value: 1636472576
IP:139910193928882		 Register Value: 0
IP:139910193928949		 Register Value: 1636472576
IP:139910193928949		 Register Value: 1636473432
IP:139910193928986		 Register Value: 1636472576
IP:139910193928986		 Register Value: 1636471840
IP:139910193929060		 Register Value: 1636472576
IP:139910193929060		 Register Value: 8
IP:139910193929060		 Register Value: 1636473272
IP:139910193929070		 Register Value: 1636472576
IP:139910193929070		 Register Value: 1636473272
IP:139910193929080		 Register Value: -1714920368
IP:139910193889905		 Register Value: 1636472576
IP:139910193889905		 Register Value: -1714208704
IP:139910193889920		 Register Value: 1636472576
IP:139910193891249		 Register Value: 1636472576
IP:139910193891249		 Register Value: 0
IP:139910193891267		 Register Value: 1636472576
IP:139910193891267		 Register Value: 3881
IP:139910193891299		 Register Value: 1636472576
IP:139910193891299		 Register Value: 3881
IP:139910193889986		 Register Value: 1636472576
IP:139910193889986		 Register Value: 864
IP:139910193890002		 Register Value: 1636472576
IP:139910193890013		 Register Value: 1636472576
IP:139910193890013		 Register Value: -1714208768
IP:139910193890049		 Register Value: 1636472576
IP:139910193890049		 Register Value: -1714208768
IP:139910193890056		 Register Value: 1636472576
IP:139910193890056		 Register Value: -1714207904
IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 14
IP:139910193890145		 Register Value: -1714207904
IP:139910193890145		 Register Value: 1636472640
IP:139910193890145		 Register Value: 16
IP:139910193890145		 Register Value: -1714207888
